,FSTEMIB,CAC 40,DAX,SP 500,IBEX,SX5E
2009-04-21,17688.0,2973.939941,4501.629883,850.080017,8615.799805,2243.6298829999996
2009-04-22,18086.0,3025.23999,4594.419922,843.5499880000001,8834.099609,2285.689941
2009-04-23,18145.0,3008.6201170000004,4538.209961,851.919983,8769.200195,2259.540039
2009-04-24,18651.0,3102.850098,4674.319824,866.2299800000001,8888.200195,2319.889893
2009-04-27,18823.0,3102.429932,4694.069824,857.51001,8777.0,2317.360107
2009-04-28,18498.0,3051.02002,4607.419922,855.159973,8656.299805,2280.52002
2009-04-29,18904.0,3116.939941,4704.560059,873.6400150000001,8891.299805,2334.590088
2009-04-30,19177.0,3159.850098,4769.450195,872.8099980000001,9038.0,2375.340088
2009-05-01,19177.0,3159.850098,4769.450195,877.5200199999999,9038.0,2375.340088
2009-05-04,19792.0,3237.969971,4902.450195,907.23999,9074.700195,2419.530029
2009-05-05,19685.0,3225.0,4853.029785,903.7999880000001,9136.700195,2407.550049
2009-05-06,20104.0,3283.51001,4880.709961,919.5300289999999,9229.0,2437.27002
2009-05-07,19814.0,3251.52002,4804.100098,907.3900150000001,9228.900391,2406.080078
2009-05-08,20509.0,3312.590088,4913.899902,929.2299800000001,9408.099609,2462.389893
2009-05-11,20200.0,3248.669922,4866.910156,909.23999,9316.799805,2433.590088
2009-05-12,20337.0,3231.100098,4854.109863000001,908.349976,9269.0,2424.340088
2009-05-13,19381.0,3152.899902,4727.609863000001,883.919983,9000.599609,2357.300049
2009-05-14,19271.0,3156.290039,4738.470215,893.070007,8984.200195,2353.530029
2009-05-15,19548.0,3169.050049,4737.5,882.8800050000001,8978.599609,2364.100098
2009-05-18,19953.0,3245.389893,4851.959961,909.7100220000001,9159.299805,2422.73999
2009-05-19,20172.0,3274.959961,4959.620117,908.1300050000001,9341.599609,2459.590088
2009-05-20,20525.0,3303.3701170000004,5038.939941,903.4699710000001,9389.400391,2487.169922
2009-05-21,19883.0,3217.409912,4900.669922,888.330017,9225.299805,2487.169922
2009-05-22,20007.0,3227.969971,4918.75,887.0,9308.599609,2433.52002
2009-05-25,19967.0,3236.159912,4918.450195,887.0,9347.400391,2440.22998
2009-05-26,20297.0,3270.090088,4985.600098,910.330017,9405.700195,2468.449951
2009-05-27,20312.0,3294.860107,5000.77002,893.0599980000001,9510.799805,2479.47998
2009-05-28,20150.0,3263.699951,4932.879883,906.830017,9435.5,2453.149902
2009-05-29,19884.0,3277.649902,4940.819824,919.1400150000001,9424.299805,2451.23999
2009-06-01,20511.699219,3379.48999,5142.560059,942.8699949999999,9630.900391,2451.23999
2009-06-02,20523.699219,3378.040039,5144.060059,944.73999,9664.799805,2534.169922
2009-06-03,20117.699219,3309.649902,5054.529785,931.76001,9464.799805,2483.389893
2009-06-04,20129.400391,3312.030029,5064.799805,942.4600220000001,9454.599609,2487.080078
2009-06-05,20170.099609,3339.050049,5077.029785,940.090027,9519.0,2503.169922
2009-06-08,19889.599609,3289.659912,5004.720215,939.1400150000001,9396.200195,2468.3701170000004
2009-06-09,20070.599609,3296.72998,4997.859863000001,942.429993,9497.700195,2479.3798829999996
2009-06-10,20299.0,3315.27002,5051.180176,939.150024,9627.599609,2500.939941
2009-06-11,20585.099609,3334.939941,5107.259765999999,944.8900150000001,9708.400391,2522.330078
2009-06-12,20384.199219,3326.139893,5069.240234000001,946.2100220000001,9714.400391,2509.219971
2009-06-15,19770.5,3219.580078,4889.939941,923.7199710000001,9518.700195,2431.399902
2009-06-16,19589.599609,3213.949951,4890.720215,911.9699710000001,9497.900391,2425.969971
2009-06-17,19023.099609,3161.139893,4799.97998,910.7100220000001,9283.200195,2383.709961
2009-06-18,19233.800781,3194.060059,4837.47998,918.3699949999999,9384.0,2414.439941
2009-06-19,19348.0,3221.27002,4839.459961,921.2299800000001,9580.900391,2434.77002
2009-06-22,18541.300781,3123.25,4693.399902,893.0399779999999,9338.5,2359.280029
2009-06-23,18464.099609,3116.820068,4707.149902,895.099976,9348.700195,2353.47998
2009-06-24,19040.599609,3184.76001,4836.009765999999,900.9400019999999,9617.599609,2418.459961
2009-06-25,18940.599609,3163.100098,4800.560059,920.26001,9667.200195,2402.320068
2009-06-26,18831.5,3129.72998,4776.470215,918.900024,9686.900391,2389.909912
2009-06-29,19096.199219,3193.679932,4885.089844,927.2299800000001,9845.700195,2437.719971
2009-06-30,19063.099609,3140.439941,4808.640136999999,919.320007,9787.799805,2401.689941
2009-07-01,19443.199219,3217.0,4905.439941,923.330017,9903.700195,2449.72998
2009-07-02,18928.699219,3116.409912,4718.490234000001,896.419983,9643.5,2369.649902
2009-07-03,18942.199219,3119.51001,4708.209961,896.419983,9707.799805,2376.47998
2009-07-06,18558.5,3082.159912,4651.819824,898.7199710000001,9569.0,2343.8798829999996
2009-07-07,18321.300781,3048.570068,4598.189941,881.0300289999999,9520.0,2320.899902
2009-07-08,17947.400391,3009.709961,4572.649902,879.5599980000001,9360.599609,2291.330078
2009-07-09,18158.599609,3025.939941,4630.069824,882.679993,9443.099609,2313.8701170000004
2009-07-10,17837.0,2983.100098,4576.310059,879.1300050000001,9344.900391,2281.469971
2009-07-13,18217.5,3052.080078,4722.339844,901.0499880000001,9567.400391,2345.219971
2009-07-14,18450.5,3081.8701170000004,4781.689941,905.840027,9634.0,2370.709961
2009-07-15,19130.0,3171.27002,4928.439941,932.679993,9905.299805,2451.02002
2009-07-16,19232.900391,3199.679932,4957.189941,940.73999,9997.599609,2458.969971
2009-07-17,19282.599609,3218.459961,4978.399902,940.3800050000001,10041.900391,2469.199951
2009-07-20,19516.699219,3270.939941,5030.149902,951.1300050000001,10142.799805,2500.689941
2009-07-21,19830.300781,3302.889893,5093.970215,954.580017,10122.200195,2519.98999
2009-07-22,19925.699219,3305.070068,5121.560059,954.070007,10153.400391,2528.850098
2009-07-23,20242.300781,3373.719971,5247.279785,976.2899779999999,10369.799805,2585.790039
2009-07-24,20161.199219,3366.4499509999996,5229.359863000001,979.26001,10438.599609,2582.76001
2009-07-27,20346.099609,3372.360107,5251.549805,982.179993,10591.700195,2601.409912
2009-07-28,20012.300781,3330.969971,5174.740234000001,979.6199949999999,10664.0,2573.080078
2009-07-29,20282.0,3365.6201170000004,5270.319824,975.150024,10661.599609,2600.310059
2009-07-30,20818.599609,3435.48999,5360.660156,986.75,10874.400391,2654.73999
2009-07-31,20575.5,3426.2700200000004,5332.140136999999,987.4799800000001,10855.099609,2638.1298829999996
2009-08-03,20914.400391,3477.8000490000004,5426.850098,1002.6300050000001,10901.0,2674.070068
2009-08-04,20966.900391,3476.3701170000004,5417.02002,1005.650024,10876.799805,2670.959961
2009-08-05,20962.5,3458.530029,5353.009765999999,1002.7199710000001,10704.400391,2643.1298829999996
2009-08-06,21128.699219,3477.830078,5369.97998,997.080017,10776.0,2662.01001
2009-08-07,21402.199219,3521.139893,5458.959961,1010.4799800000001,10947.599609,2706.219971
2009-08-10,21576.599609,3504.540039,5418.120117,1007.099976,10923.0,2693.610107
2009-08-11,21268.5,3456.179932,5285.810059,994.349976,10831.900391,2650.939941
2009-08-12,21546.400391,3507.23999,5350.089844,1005.8099980000001,10933.799805,2688.209961
2009-08-13,21827.199219,3524.389893,5401.109863000001,1012.7299800000001,11046.799805,2705.73999
2009-08-14,21552.400391,3495.2700200000004,5309.109863000001,1004.090027,10901.900391,2669.409912
2009-08-17,20962.400391,3419.6899409999996,5201.609863000001,979.7299800000001,10598.5,2603.790039
2009-08-18,21247.800781,3450.6899409999996,5250.740234000001,989.669983,10708.299805,2630.600098
2009-08-19,21132.199219,3450.3400880000004,5231.97998,996.4600220000001,10695.5,2622.8798829999996
2009-08-20,21394.400391,3505.320068,5311.060059,1007.3699949999999,10892.5,2663.669922
2009-08-21,21896.5,3615.8100590000004,5462.740234000001,1026.130005,11161.0,2745.6201170000004
2009-08-24,22354.900391,3652.169922,5519.75,1025.569946,11303.799805,2778.340088
