Date,ON,3M,6M,12M
17/01/2011,0.55813,0.76750,1.06938,1.52538
18/01/2011,0.55813,0.77000,1.07438,1.53438
19/01/2011,0.55813,0.77313,1.07625,1.53788
20/01/2011,0.55813,0.77563,1.07750,1.54000
21/01/2011,0.55813,0.77563,1.07688,1.54125
24/01/2011,0.55813,0.77688,1.07750,1.54000
25/01/2011,0.55688,0.77313,1.07000,1.52788
26/01/2011,0.55688,0.77375,1.07188,1.53125
27/01/2011,0.55688,0.77500,1.07375,1.53125
28/01/2011,0.55688,0.77500,1.07375,1.53063
31/01/2011,0.55688,0.77688,1.07438,1.53313
01/02/2011,0.55688,0.78188,1.08438,1.54375
02/02/2011,0.55688,0.78813,1.08875,1.55000
03/02/2011,0.55688,0.79063,1.09250,1.55475
04/02/2011,0.55688,0.79188,1.09500,1.55875
07/02/2011,0.55688,0.80000,1.10188,1.56688
08/02/2011,0.55813,0.80188,1.10500,1.56938
09/02/2011,0.55688,0.80375,1.10688,1.57063
10/02/2011,0.55688,0.80500,1.10813,1.57188
11/02/2011,0.55625,0.80313,1.10813,1.57313
14/02/2011,0.55625,0.80338,1.10838,1.57438
15/02/2011,0.55625,0.80338,1.10838,1.57438
16/02/2011,0.55625,0.80150,1.10650,1.57313
17/02/2011,0.55625,0.80150,1.10650,1.57313
18/02/2011,0.55625,0.80175,1.10713,1.57563
21/02/2011,0.55625,0.80300,1.10863,1.57563
22/02/2011,0.55625,0.80300,1.10925,1.57588
23/02/2011,0.55625,0.80300,1.11238,1.57838
24/02/2011,0.55625,0.80175,1.11113,1.57813
25/02/2011,0.55625,0.80138,1.10950,1.57500
28/02/2011,0.55625,0.80250,1.11000,1.57625
01/03/2011,0.55625,0.80250,1.11000,1.57625
02/03/2011,0.55625,0.80250,1.10875,1.57625
03/03/2011,0.55625,0.80250,1.10875,1.57625
04/03/2011,0.55625,0.80500,1.11063,1.58375
07/03/2011,0.55625,0.80625,1.11250,1.58500
