Date,ON,3M,6M,12M
22/07/2009,0.27438,0.93300,1.18200,1.38100
23/07/2009,0.27313,0.92700,1.17500,1.37900
24/07/2009,0.26938,0.92100,1.17000,1.37800
27/07/2009,0.26750,0.91400,1.16800,1.37700
28/07/2009,0.26750,0.90800,1.15900,1.37300
29/07/2009,0.26938,0.90300,1.15300,1.36700
30/07/2009,0.26813,0.89900,1.14900,1.36400
31/07/2009,0.28375,0.89300,1.14200,1.35500
03/08/2009,0.26813,0.88600,1.13700,1.34600
04/08/2009,0.26813,0.88400,1.13400,1.34400
05/08/2009,0.26813,0.88400,1.13300,1.34500
06/08/2009,0.26750,0.88300,1.13200,1.34600
07/08/2009,0.26438,0.88100,1.13100,1.34800
10/08/2009,0.26750,0.88400,1.13300,1.35400
11/08/2009,0.37125,0.88300,1.13000,1.35300
12/08/2009,0.27250,0.87900,1.12800,1.35000
13/08/2009,0.27188,0.87300,1.12100,1.34400
14/08/2009,0.27188,0.86900,1.12000,1.34200
17/08/2009,0.26750,0.86100,1.11400,1.33500
18/08/2009,0.27000,0.85900,1.11300,1.33400
19/08/2009,0.27000,0.85400,1.11100,1.33000
20/08/2009,0.27250,0.85100,1.11100,1.32800
21/08/2009,0.27250,0.84900,1.10700,1.32400
24/08/2009,0.27000,0.84300,1.10600,1.32600
25/08/2009,0.26750,0.83800,1.10100,1.32200
26/08/2009,0.26875,0.83400,1.09900,1.31900
27/08/2009,0.26875,0.82900,1.09300,1.31500
28/08/2009,0.26875,0.82500,1.08800,1.31100
31/08/2009,0.28188,0.82100,1.08200,1.30400
01/09/2009,0.27875,0.81900,1.08000,1.30200
02/09/2009,0.27250,0.81300,1.07800,1.30000
03/09/2009,0.27500,0.80900,1.07600,1.29800
04/09/2009,0.27250,0.80300,1.06900,1.29000
07/09/2009,0.27250,0.79700,1.06500,1.28300
08/09/2009,0.48250,0.78800,1.05500,1.27400
09/09/2009,0.27000,0.78100,1.05000,1.26700
10/09/2009,0.26875,0.77800,1.04600,1.26100
11/09/2009,0.27000,0.77300,1.04000,1.25800
14/09/2009,0.27375,0.77100,1.04000,1.25500
15/09/2009,0.27500,0.77000,1.04000,1.25600
16/09/2009,0.27375,0.76800,1.03800,1.25200
17/09/2009,0.27500,0.76600,1.03900,1.25600
