,FSTEMIB,CAC 40,DAX,IBEX,SX5E
06/08/2013,16683.199219,4032.570068,8299.730469,8529.5,2790.780029
07/08/2013,16838.199219,4038.48999,8260.480469,8574.099609,2794.439941
08/08/2013,17146.5,4064.320068,8318.320313,8671.799805,2816.8798829999996
09/08/2013,17186.599609,4076.5500490000004,8338.30957,8735.5,2825.6201170000004
12/08/2013,17262.900391,4071.679932,8359.25,8717.700195,2827.149902
13/08/2013,17380.099609,4092.5,8415.759766,8758.5,2841.610107
14/08/2013,17463.5,4114.200195,8438.120117,8789.299805,2852.080078
15/08/2013,17463.5,4093.1999509999996,8376.290039,8737.599609,2835.860107
16/08/2013,17677.800781,4123.890136999999,8391.94043,8821.299805,2854.27002
19/08/2013,17243.199219,4083.9799799999996,8366.290039,8657.099609,2823.350098
20/08/2013,16999.599609,4028.929932,8300.030273,8502.400391,2787.97998
21/08/2013,16877.900391,4015.0900880000004,8285.410156,8461.799805,2774.580078
22/08/2013,17309.800781,4059.1201170000004,8397.889648,8629.700195,2812.320068
23/08/2013,17342.199219,4069.469971,8416.990234,8686.799805,2826.050049
26/08/2013,16977.800781,4067.1298829999996,8435.150391,8649.900391,2821.449951
27/08/2013,16579.800781,3968.7299799999996,8242.55957,8394.0,2749.27002
28/08/2013,16743.099609,3960.459961,8157.899901999999,8398.099609,2742.610107
29/08/2013,16905.199219,3986.350098,8194.549805,8432.099609,2758.310059
30/08/2013,16682.199219,3933.780029,8103.149901999999,8290.5,2721.3701170000004
02/09/2013,16988.599609,4006.01001,8243.870117,8429.599609,2774.090088
03/09/2013,16941.0,3974.070068,8180.709961,8445.200195,2753.350098
04/09/2013,16712.199219,3980.419922,8195.919922,8490.299805,2758.290039
05/09/2013,16842.699219,4006.8000490000004,8234.980469,8550.0,2774.199951
06/09/2013,17047.0,4049.1899409999996,8275.669922,8655.0,2803.419922
09/09/2013,17244.699219,4040.330078,8276.320313,8632.5,2798.310059
10/09/2013,17332.400391,4116.640136999999,8446.540039,8801.599609,2851.399902
11/09/2013,17562.599609,4119.109863000001,8495.730469,8875.200195,2863.439941
12/09/2013,17522.699219,4106.629883,8494.0,8924.200195,2862.070068
13/09/2013,17547.900391,4114.5,8509.419922,8941.599609,2867.110107
16/09/2013,17731.800781,4152.220215,8613.0,8999.5,2894.639893
17/09/2013,17751.699219,4145.509765999999,8596.950195,8992.0,2890.949951
18/09/2013,17804.699219,4170.399902,8636.05957,9062.5,2908.919922
19/09/2013,18059.199219,4206.040039,8694.179688,9153.700195,2936.199951
20/09/2013,17970.099609,4203.660156,8675.730469,9171.799805,2927.189941
23/09/2013,17913.199219,4172.080078,8635.290039,9109.5,2906.350098
24/09/2013,18064.599609,4195.609863000001,8664.599609,9167.599609,2922.929932
25/09/2013,18089.199219,4195.350098,8665.629883,9242.900391,2927.350098
26/09/2013,17872.5,4186.720215,8664.099609,9272.400391,2922.98999
27/09/2013,17646.199219,4186.77002,8661.509766,9228.400391,2919.340088
30/09/2013,17434.900391,4143.439941,8594.400391,9186.099609,2893.149902
01/10/2013,17977.099609,4196.600098,8689.139648,9341.5,2933.02002
02/10/2013,18098.400391,4158.160156,8629.419922,9350.0,2918.310059
03/10/2013,18018.199219,4127.97998,8629.419922,9295.700195,2902.1201170000004
04/10/2013,18304.199219,4164.25,8622.969727,9420.900391,2928.310059
07/10/2013,18425.800781,4165.580078,8591.580078,9381.900391,2923.040039
08/10/2013,18372.800781,4133.529785,8555.889648,9318.900391,2903.350098
09/10/2013,18551.599609,4127.049805,8516.69043,9439.0,2904.72998
10/10/2013,18836.800781,4218.109863000001,8685.769531,9660.5,2969.409912
11/10/2013,18882.599609,4219.97998,8724.830078,9668.5,2974.280029
14/10/2013,18917.699219,4222.959961,8723.80957,9696.0,2977.689941
15/10/2013,18999.199219,4256.02002,8804.44043,9805.299805,3004.560059
16/10/2013,19275.0,4243.720215,8846.0,9879.0,3015.399902
17/10/2013,19198.099609,4239.640136999999,8811.980469,9918.0,3010.389893
18/10/2013,19271.0,4286.029785,8865.099609,10001.799805,3033.310059
21/10/2013,19262.699219,4276.919922,8867.219727,10037.799805,3028.649902
22/10/2013,19371.900391,4295.430176,8947.459961,10012.900391,3045.77002
23/10/2013,18910.699219,4260.660156,8919.860352,9828.299805,3017.159912
24/10/2013,19152.900391,4275.689941,8980.629883,9915.400391,3038.959961
25/10/2013,18874.800781,4272.310059,8985.740234,9815.5,3034.5
28/10/2013,18829.400391,4251.609863000001,8978.650391,9736.200195,3022.040039
29/10/2013,19256.900391,4278.089844,9022.040039,9863.900391,3050.639893
30/10/2013,19166.900391,4274.109863000001,9010.269531,9778.700195,3040.689941
31/10/2013,19351.5,4299.890136999999,9033.919922,9907.900391,3067.949951
01/11/2013,19164.300781,4273.189941,9007.830078,9838.299805,3052.139893
04/11/2013,19310.699219,4288.589844,9037.230469,9873.799805,3061.179932
05/11/2013,19091.900391,4253.339844,9009.110352,9795.700195,3035.919922
06/11/2013,19262.5,4286.930176,9040.870117,9837.099609,3056.399902
07/11/2013,18863.400391,4280.990234000001,9081.030273,9740.400391,3042.97998
08/11/2013,18961.699219,4260.439941,9078.280273,9747.200195,3034.909912
11/11/2013,19107.800781,4290.140136999999,9107.860352,9789.5,3052.830078
12/11/2013,19005.0,4263.779785,9076.480469,9707.599609,3034.679932
13/11/2013,18733.0,4239.939941,9054.830078,9675.200195,3021.169922
14/11/2013,18760.800781,4283.910156,9149.660156,9708.700195,3053.689941
15/11/2013,18687.199219,4292.22998,9168.69043,9695.900391,3054.530029
18/11/2013,19105.5,4320.680176,9225.429688,9783.099609,3081.300049
19/11/2013,18766.800781,4272.290039,9193.290039,9629.799805,3049.169922
20/11/2013,18728.199219,4268.370117,9202.070313,9559.5,3047.320068
21/11/2013,18841.800781,4253.899902,9196.080078,9599.299805,3044.340088
22/11/2013,18822.300781,4278.529785,9219.040039,9677.400391,3055.97998
25/11/2013,18784.300781,4301.970215,9299.950195,9689.099609,3072.75
26/11/2013,18774.300781,4277.569824,9290.070313,9714.599609,3062.6201170000004
27/11/2013,18924.800781,4293.060059,9351.129883,9808.400391,3082.649902
28/11/2013,19099.400391,4302.419922,9387.370117,9859.799805,3092.419922
29/11/2013,19021.5,4295.209961,9405.299805,9837.599609,3086.639893
02/12/2013,18732.599609,4285.810059,9401.959961,9745.5,3077.22998
03/12/2013,18366.800781,4172.439941,9223.400391,9605.0,3013.8798829999996
04/12/2013,18313.0,4148.52002,9140.629883,9540.5,2991.76001
05/12/2013,17993.099609,4099.910156,9084.950195,9392.099609,2953.169922
06/12/2013,18124.400391,4129.370117,9172.410156,9400.5,2979.939941
09/12/2013,18285.5,4134.100098,9195.169922,9487.400391,2988.669922
10/12/2013,18236.699219,4091.139893,9114.44043,9438.299805,2960.860107
11/12/2013,17974.0,4086.860107,9077.110352,9358.700195,2947.310059
12/12/2013,17804.900391,4069.1201170000004,9017.0,9272.099609,2928.1201170000004
13/12/2013,17805.699219,4059.709961,9006.459961,9272.700195,2921.919922
16/12/2013,18222.400391,4119.879883,9163.55957,9429.5,2978.77002
17/12/2013,17925.199219,4068.639893,9085.120117,9343.400391,2941.76001
18/12/2013,18131.5,4109.509765999999,9181.75,9443.599609,2975.090088
19/12/2013,18454.0,4154.27002,9335.740234,9617.099609,3031.050049
20/12/2013,18565.599609,4193.77002,9400.179688,9689.900391,3049.350098
23/12/2013,18697.199219,4215.290039,9488.820313,9758.400391,3070.909912
24/12/2013,18697.199219,4218.410156,9488.820313,9819.5,3070.909912
25/12/2013,18697.199219,4218.410156,9488.820313,9819.5,3070.909912
26/12/2013,18697.199219,4218.410156,9488.820313,9819.5,3070.909912
27/12/2013,18956.5,4277.649902,9589.389648,9900.099609,3111.3701170000004
30/12/2013,18967.699219,4275.709961,9552.160156,9901.900391,3100.929932
31/12/2013,18967.699219,4295.950195,9552.160156,9916.700195,3100.929932
01/01/2014,18967.699219,4295.950195,9552.160156,9916.700195,3100.929932
02/01/2014,18929.599609,4227.279785,9400.040039,9760.299805,3100.929932
03/01/2014,19112.699219,4247.649902,9435.150391,9798.0,3074.429932
06/01/2014,19233.699219,4227.540039,9428.0,9888.5,3069.159912
07/01/2014,19468.800781,4262.680176,9506.200195,10178.700195,3110.959961
08/01/2014,19436.300781,4260.959961,9497.839844,10253.599609,3110.659912
09/01/2014,19503.0,4225.140136999999,9421.610352,10234.200195,3090.26001
10/01/2014,19569.0,4250.600098,9473.240234,10290.599609,3104.149902
13/01/2014,19697.199219,4263.27002,9510.169922,10365.5,3111.939941
14/01/2014,19730.400391,4274.200195,9540.509766,10382.0,3119.530029
15/01/2014,20045.800781,4332.069824,9733.80957,10525.0,3168.76001
16/01/2014,19875.699219,4319.27002,9717.709961,10455.5,3150.199951
17/01/2014,19969.300781,4327.5,9742.959961,10465.700195,3154.100098
20/01/2014,19973.400391,4322.859863000001,9715.900391,10454.099609,3153.169922
21/01/2014,19995.800781,4323.870117,9730.120117,10357.400391,3153.080078
22/01/2014,19958.400391,4324.97998,9720.110352,10279.700195,3151.27002
23/01/2014,19814.599609,4280.959961,9631.040039,10241.200195,3117.080078
24/01/2014,19359.0,4161.470215,9392.019531,9868.900391,3028.199951
27/01/2014,19273.599609,4144.560059,9349.219727,9758.400391,3014.6201170000004
28/01/2014,19448.300781,4185.290039,9406.910156,9879.099609,3038.600098
29/01/2014,19337.400391,4156.97998,9336.730469,9896.200195,3011.449951
30/01/2014,19411.599609,4180.02002,9373.480469,9964.5,3027.300049
