Date,EUR/USD,JPY/USD,GBP/USD
11/03/2014,1.3864,0.00971345,1.6621
12/03/2014,1.3906,0.00974298,1.662
13/03/2014,1.3859,0.00983980,1.6614
14/03/2014,1.3908,0.00986874,1.6632
17/03/2014,1.3923,0.00982897,1.6631
18/03/2014,1.3934,0.00986280,1.6591
19/03/2014,1.3829,0.00975419,1.6529
20/03/2014,1.3775,0.00976495,1.6497
21/03/2014,1.3796,0.00979393,1.6495
24/03/2014,1.384,0.00978109,1.6502
25/03/2014,1.3824,0.00977746,1.6531
26/03/2014,1.3793,0.00979931,1.659
27/03/2014,1.3744,0.00978904,1.661
28/03/2014,1.375,0.00972696,1.6641
31/03/2014,1.3781,0.00968860,1.6673
01/04/2014,1.3793,0.00964515,1.6631
02/04/2014,1.3762,0.00963047,1.6622
03/04/2014,1.3715,0.00962093,1.6594
04/04/2014,1.3705,0.00968616,1.6579
07/04/2014,1.3743,0.00969461,1.6608
08/04/2014,1.3794,0.00983342,1.6745
09/04/2014,1.3851,0.00980642,1.6789
10/04/2014,1.3887,0.00985367,1.6778
11/04/2014,1.3882,0.00984058,1.6737
14/04/2014,1.382,0.00982868,1.6728
15/04/2014,1.3813,0.00982279,1.6723
16/04/2014,1.3813,0.00977708,1.6794
17/04/2014,1.3814,0.00976085,1.6794
18/04/2014,1.3818,0.00976762,1.679
21/04/2014,1.3793,0.00974639,1.6799
22/04/2014,1.3804,0.00974563,1.6823
23/04/2014,1.3816,0.00976181,1.6778
24/04/2014,1.3827,0.00977412,1.6801
25/04/2014,1.3832,0.00978808,1.6797
28/04/2014,1.3848,0.00975229,1.6806
29/04/2014,1.3811,0.00974981,1.6829
30/04/2014,1.387,0.00978856,1.6879
01/05/2014,1.3865,0.00977478,1.6887
02/05/2014,1.387,0.00978167,1.6872
05/05/2014,1.3876,0.00979431,1.6866
06/05/2014,1.3928,0.00983874,1.698
07/05/2014,1.3912,0.00982077,1.6955
08/05/2014,1.3852,0.00984775,1.6939
09/05/2014,1.3754,0.00982221,1.6849
12/05/2014,1.3757,0.00978780,1.6867
13/05/2014,1.3701,0.00977794,1.6825
14/05/2014,1.371,0.00982588,1.6768
15/05/2014,1.371,0.00984833,1.6793
16/05/2014,1.37,0.00984930,1.682
19/05/2014,1.3709,0.00986300,1.6821
20/05/2014,1.3698,0.00986971,1.684
21/05/2014,1.3685,0.00986134,1.6902
22/05/2014,1.3654,0.00982443,1.6864
23/05/2014,1.363,0.00980613,1.6828
26/05/2014,1.3645,0.00981142,1.6844
27/05/2014,1.3636,0.00980680,1.6807
28/05/2014,1.3594,0.00981932,1.6711
29/05/2014,1.3602,0.00983284,1.6713
30/05/2014,1.3631,0.00982298,1.6761
02/06/2014,1.3597,0.00976305,1.6744
03/06/2014,1.3625,0.00975352,1.6746
04/06/2014,1.3599,0.00973586,1.6741
05/06/2014,1.3653,0.00975876,1.6811
06/06/2014,1.3644,0.00975704,1.6806
09/06/2014,1.3587,0.00975447,1.6793
10/06/2014,1.3545,0.00977259,1.6756
11/06/2014,1.3529,0.00980680,1.6793
12/06/2014,1.3564,0.00984029,1.6832
13/06/2014,1.3538,0.00980488,1.6968
16/06/2014,1.357,0.00981913,1.6981
17/06/2014,1.3543,0.00978837,1.6957
18/06/2014,1.358,0.00980901,1.6988
19/06/2014,1.3602,0.00980872,1.7035
20/06/2014,1.3595,0.00979422,1.7013
23/06/2014,1.3603,0.00981354,1.7025
24/06/2014,1.3601,0.00981142,1.6978
25/06/2014,1.363,0.00981787,1.6979
26/06/2014,1.3607,0.00983371,1.7022
27/06/2014,1.3646,0.00986290,1.7031
30/06/2014,1.3693,0.00986991,1.7114
01/07/2014,1.3677,0.00984872,1.7152
02/07/2014,1.3655,0.00982241,1.7165
03/07/2014,1.3603,0.00978464,1.7147
04/07/2014,1.3594,0.00979719,1.7149
07/07/2014,1.3607,0.00981855,1.7128
08/07/2014,1.3612,0.00985027,1.7131
09/07/2014,1.3644,0.00984339,1.7152
10/07/2014,1.3603,0.00987235,1.7136
11/07/2014,1.3608,0.00986894,1.7115
14/07/2014,1.3619,0.00984591,1.708
15/07/2014,1.3567,0.00983419,1.7144
16/07/2014,1.3523,0.00983090,1.7135
17/07/2014,1.3528,0.00987742,1.7109
18/07/2014,1.3526,0.00986650,1.7085
21/07/2014,1.3521,0.00986319,1.7075
22/07/2014,1.3468,0.00985648,1.7061
